model name: ../saved_model/02_06_2022_05_56_14_MITOR_V2.obj
data: ../data/flu_datasets/2011-2012_flu_normalized.mat
w_from_matlab: False
break_on: True
rho 10
lr for ADMM: 0.8
alpha: 0
beta: 0.001
tol_L: 0.001
tor_r: 1e-10
tol_s: 1e-10
tol_r_s: 10
ADI: 5000
Max_iteration: 1000
2022-06-02 05:56:17,899 : Model Initialized
2022-06-02 06:45:44,481 : ADMM iteration: 96, Max iteration: 3, r-residual: 8.209063E-4, s-residual: 2.299165E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.47372889999997
2022-06-02 06:46:05,375 : ADMM iteration: 97, Max iteration: 3, r-residual: 1.822043E-3, s-residual: 2.292130E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.844861300000048
2022-06-02 06:46:26,448 : ADMM iteration: 98, Max iteration: 3, r-residual: 1.758936E-3, s-residual: 2.285209E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 21.01637219999975
2022-06-02 06:46:47,255 : ADMM iteration: 99, Max iteration: 3, r-residual: 1.949216E-3, s-residual: 2.278402E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.74530300000015
2022-06-02 06:47:07,657 : ADMM iteration: 100, Max iteration: 3, r-residual: 4.307795E-3, s-residual: 2.271708E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.366032699999778
2022-06-02 06:47:28,605 : ADMM iteration: 101, Max iteration: 3, r-residual: 5.242798E-3, s-residual: 2.265125E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.875941700000112
2022-06-02 06:47:48,986 : ADMM iteration: 102, Max iteration: 3, r-residual: 4.553603E-3, s-residual: 2.258653E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.32879479999974
2022-06-02 06:48:09,846 : ADMM iteration: 103, Max iteration: 3, r-residual: 3.080847E-3, s-residual: 2.252286E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.779276099999606
2022-06-02 06:48:30,466 : ADMM iteration: 104, Max iteration: 3, r-residual: 1.502633E-3, s-residual: 2.246023E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.565659200000027
2022-06-02 06:48:51,059 : ADMM iteration: 105, Max iteration: 3, r-residual: 8.666895E-4, s-residual: 2.239871E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.54812949999996
